DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.70481,-52.66607,1.9
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBÁ,Pantanal,,,,-18.98676,-57.56537,3.3
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.70267,-52.65548,1.4
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.70181,-52.66043,1.4
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.69881,-52.65477,1.4
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,,,-14.69794,-52.65974,1.4
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,ÁGUA BOA,Cerrado,,,,-13.94566,-52.83266,1.2
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CHAPADÃO DO SUL,Cerrado,,,,-19.21587,-52.59603,0.8
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CHAPADÃO DO SUL,Cerrado,,,,-19.21227,-52.59531,1.5
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.33105,-52.81544,1.7
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.33023,-52.82005,1.7
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.32572,-52.82393,2.0
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.32326,-52.83776,2.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.32244,-52.84237,1.5
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.31585,-52.87938,1.2
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.31337,-52.89329,1.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.31254,-52.89793,1.3
2024/06/21 04:27:00,NOAA-20,Brasil,GOIÁS,MINEIROS,Cerrado,,,,-18.31215,-52.87865,2.6
2024/06/21 04:27:00,NOAA-20,Brasil,GOIÁS,MINEIROS,Cerrado,,,,-18.31132,-52.88328,2.6
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.31049,-52.88792,2.4
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,,,-18.30966,-52.89256,2.4
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,JARAGUARI,Cerrado,,,,-20.05645,-54.2821,1.8
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,JARAGUARI,Cerrado,,,,-20.0516,-54.28643,2.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,JARAGUARI,Cerrado,,,,-20.04771,-54.28559,2.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,SIDROLÂNDIA,Cerrado,,,,-21.17878,-54.55086,0.7
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,SIDROLÂNDIA,Cerrado,,,,-21.17489,-54.55007,0.7
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,,,,-23.21047,-53.88361,1.5
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,,,,-23.20964,-53.88823,6.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,,,,-23.2093,-53.86897,2.2
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,,,,-23.20882,-53.89285,6.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,,,,-23.20848,-53.87359,2.2
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,,,,-23.20765,-53.87821,1.5
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,,,,-23.20566,-53.86818,1.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.13116,-53.67449,1.5
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.12836,-53.66919,2.0
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.12755,-53.67373,1.5
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.10869,-53.67444,0.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.07946,-53.64947,1.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.07585,-53.64871,2.1
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.06339,-53.65547,2.4
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.06093,-53.66904,2.1
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.05896,-53.65923,2.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.05732,-53.66828,1.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.0565,-53.67281,1.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.05617,-53.65395,1.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.05535,-53.65847,2.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.05256,-53.65319,5.2
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.05174,-53.65771,2.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04955,-53.64574,2.0
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04895,-53.65243,5.2
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04876,-53.65027,5.7
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04813,-53.65695,2.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04796,-53.6548,5.7
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04731,-53.66148,2.6
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04635,-53.66387,2.4
2024/06/21 04:29:00,NOAA-20,Brasil,MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,,,,-23.04617,-53.64715,1.3
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,,,,-2.5847,-51.92236,0.9
2024/06/21 04:23:00,NOAA-20,Brasil,PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,,,,-2.58314,-51.91991,1.2
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,,,,-11.78778,-52.46042,2.0
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,,,,-11.64736,-52.80836,1.4
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,,,,-11.64602,-52.79672,1.0
2024/06/21 04:27:00,NOAA-20,Brasil,MATO GROSSO,QUERÊNCIA,Amazônia,,,,-11.64538,-52.80043,1.6
